idade,renda,score_serasa,interesse,dias_ult_compra,vlr_tran_total_6m,gasto_vinho_6m,gasto_queijo_6m,gasto_cerveja_6m,gasto_flv_6m,gasto_mercearia_6m
44,2371.96,584.26,0.63,47,107.65,0.0,0.0,0.35,0.0,13.52
43,3452.31,574.73,0.68,51,184.28,0.0,0.0,0.0,14.09,17.19
41,1863.83,523.25,0.03,180,10.58,0.0,0.04,0.0,0.0,1.35
47,3014.71,644.8,1.0,7,2500.11,1.61,0.0,1518.23,260.6,250.99
41,3224.25,560.29,0.64,64,234.92,4.14,1.2,1027.68,2.23,37.85
44,6379.71,770.02,1.0,24,931.97,39.34,11.12,0.0,41.94,44.08
43,5616.31,761.86,1.0,35,514.93,0.51,35.31,0.14,55.97,16.9
44,4964.54,797.19,0.99,26,605.09,0.56,37.28,0.0,32.51,46.1
42,5486.53,766.13,1.0,39,442.84,0.15,37.86,13.65,63.07,45.79
45,3414.66,584.68,1.0,4,2487.86,26.99,37.56,0.0,237.61,115.38
38,3900.27,590.0,0.69,66,250.83,0.0,0.0,0.0,4.9,19.46
41,4280.84,548.95,0.69,49,314.85,1.46,0.0,182.81,4.39,0.0
47,2768.91,594.47,0.69,53,146.28,0.0,0.03,0.0,12.56,27.17
44,7171.96,787.36,1.0,24,933.59,114.01,0.09,4.88,33.1,50.19
44,7093.98,780.7,0.98,23,864.03,54.0,6.85,38.37,55.97,37.83
48,3436.35,635.35,1.0,3,2447.17,0.0,18.01,1756.92,324.95,111.57
47,5221.5,759.57,0.97,21,377.72,1.07,27.65,0.0,5.31,53.13
41,3362.53,573.15,0.61,60,266.48,3.72,0.0,201.75,2.46,0.0
43,6122.62,747.59,1.0,32,776.41,125.23,0.0,110.29,39.29,28.75
41,2929.03,568.96,0.68,62,135.32,1.01,0.68,0.0,0.0,0.0
45,7534.7,753.89,1.0,11,719.63,122.11,3.29,0.0,91.01,55.26
47,3841.69,578.48,1.0,1,2517.37,29.32,22.62,0.0,218.11,141.74
48,2806.48,616.13,1.0,2,2402.04,0.0,19.49,0.0,255.31,143.64
49,3432.32,625.84,1.0,5,2588.26,0.0,1.87,344.83,216.61,226.78
42,7979.7,771.23,0.99,25,967.8,94.33,0.0,15.85,72.6,36.83
42,7199.96,810.13,0.99,22,819.88,135.18,6.82,7.06,84.21,19.5
43,7512.14,763.86,0.99,22,802.68,100.63,6.53,11.78,0.0,27.49
42,2976.83,486.2,0.0,180,0.31,0.01,0.0,0.0,0.0,0.0
45,4938.33,608.73,0.99,6,2351.04,43.57,9.7,0.0,109.37,266.91
46,6739.53,759.97,0.97,17,771.96,115.54,0.0,30.96,59.23,41.31
44,3410.06,539.81,0.65,44,209.77,0.04,0.02,0.8,14.75,4.99
41,3799.0,545.31,0.65,44,195.68,0.06,0.0,0.0,4.97,0.0
43,6765.01,776.57,1.0,22,864.18,40.55,0.0,43.71,76.23,77.09
43,6647.82,756.66,0.95,23,819.05,135.02,0.0,79.87,46.01,62.85
41,3038.01,602.14,0.67,70,295.84,5.71,1.2,186.62,8.99,0.0
50,4191.55,610.81,0.99,5,2475.4,9.88,30.36,0.0,283.36,36.01
41,3235.68,539.33,0.64,50,132.81,0.11,0.07,0.54,0.0,15.7
45,8226.45,780.22,1.0,24,849.74,0.0,0.0,0.0,85.36,0.0
43,3977.79,569.7,0.68,60,253.98,0.0,1.24,469.2,7.55,0.0
44,3213.57,546.78,0.68,48,110.27,0.19,0.0,0.39,13.22,3.58
45,4628.33,797.8,0.98,28,392.57,0.0,20.16,0.7,124.64,58.95
46,8746.5,781.13,1.0,13,849.08,117.97,0.0,0.0,91.59,0.0
43,2714.69,558.94,0.67,46,130.15,0.0,0.03,0.5,6.68,20.27
44,3412.15,507.62,0.63,62,251.78,0.0,0.06,0.0,0.0,0.0
42,6942.79,816.92,0.99,28,719.63,0.0,8.04,20.17,0.0,43.04
48,3574.28,678.24,1.0,3,2461.1,0.0,0.0,547.22,224.24,335.4
44,7300.95,800.5,0.99,29,804.69,180.71,0.0,0.0,37.93,22.39
42,2011.44,499.52,0.0,183,17.73,0.0,0.0,0.23,0.0,1.96
45,5102.82,808.48,1.0,21,678.72,0.0,33.79,0.93,12.82,22.32
41,3067.3,550.45,0.63,51,291.78,0.0,0.0,0.0,2.92,3.41
44,5294.61,725.95,0.98,32,519.2,1.95,11.69,18.02,72.93,71.62
45,6952.68,813.65,1.0,25,1005.08,105.62,0.0,1.17,74.44,71.97
40,3501.57,566.05,0.02,182,17.36,0.0,0.05,0.0,0.0,0.0
48,3431.85,622.67,0.99,1,2443.6,8.52,22.75,0.0,189.71,0.0
47,3567.84,592.95,0.99,5,2510.62,0.0,20.33,1404.02,316.83,267.67
47,3765.34,578.2,0.99,2,2490.31,9.55,19.09,466.13,154.66,172.93
40,3313.1,553.88,0.0,182,0.0,0.11,0.03,0.09,0.52,3.86
41,3361.99,579.08,0.64,46,134.89,0.0,0.01,0.0,9.48,0.0
45,5942.57,754.45,1.0,24,544.51,0.58,27.02,0.0,66.18,38.01
41,3426.63,523.99,0.01,182,2.88,0.0,0.07,0.0,0.47,1.44
43,5822.33,769.7,0.98,33,511.39,2.21,26.73,0.0,28.23,7.94
46,5068.61,781.96,0.98,29,619.54,0.53,31.13,3.63,16.44,56.37
42,3281.43,577.39,0.66,65,200.88,1.99,0.08,942.63,2.27,26.95
41,2446.22,556.61,0.0,181,0.0,0.0,0.0,0.07,0.0,0.0
40,2565.66,573.48,0.0,182,5.14,0.21,0.0,0.0,0.0,1.07
43,7814.23,801.36,0.98,25,724.4,143.96,4.93,0.0,91.51,68.77
43,4996.25,705.5,0.98,31,511.13,0.07,29.71,4.15,32.93,61.24
42,2193.82,505.58,0.0,181,27.46,0.09,0.03,0.12,0.0,1.74
42,2633.11,448.23,0.0,178,6.34,0.0,0.03,0.2,0.0,0.0
42,2635.9,524.95,0.0,182,0.0,0.0,0.04,0.3,0.0,0.0
43,3498.96,556.39,0.62,48,125.22,0.0,0.0,0.0,3.61,0.0
45,3193.01,558.27,0.66,52,202.9,0.0,0.0,0.84,4.72,14.67
42,2825.52,526.39,0.01,182,0.0,0.32,0.07,0.11,0.0,2.36
47,5447.21,777.37,1.0,28,536.63,0.76,18.25,8.79,52.38,13.95
40,3149.85,581.26,0.65,65,277.6,4.01,1.9,676.51,2.54,19.63
44,4848.08,790.79,1.0,30,522.88,0.0,3.74,1.76,87.08,51.12
42,2990.43,539.58,0.0,183,0.0,0.07,0.04,0.03,0.0,0.0
43,4835.03,808.89,0.99,37,539.81,0.0,11.93,0.0,5.51,10.99
43,2741.44,536.89,0.68,43,154.14,0.0,0.0,0.96,14.9,0.0
43,3230.83,627.46,0.65,48,189.31,0.0,0.0,0.0,8.79,29.82
45,7348.12,807.25,0.98,21,920.29,98.09,0.0,24.56,52.71,73.14
47,3748.97,688.93,1.0,7,2546.14,1.3,25.23,0.0,203.58,151.52
44,2920.93,563.43,0.65,47,172.21,0.09,0.0,0.01,9.65,31.52
43,5684.1,725.44,1.0,28,447.08,1.22,30.52,2.97,74.81,23.45
43,3330.78,565.04,0.67,37,183.58,0.0,0.0,0.0,0.0,0.0
48,4081.76,623.06,0.99,2,2414.05,7.92,6.59,31.44,140.67,307.08
42,5371.18,755.8,0.95,24,398.46,0.0,38.72,0.32,46.43,9.89
45,3783.14,655.64,1.0,4,2407.9,0.0,14.94,0.0,215.76,344.88
44,2255.19,558.45,0.69,41,145.5,0.0,0.03,0.26,0.38,0.0
47,3449.34,640.3,1.0,0,2428.48,0.0,38.08,0.0,300.68,346.7
42,4642.51,765.08,0.97,32,574.07,1.18,28.21,9.87,34.93,3.13
42,3850.01,526.19,0.64,67,283.92,0.0,0.0,45.61,3.12,39.65
48,4154.29,644.65,0.99,2,2577.78,48.07,2.31,0.0,318.94,364.71
40,3836.25,598.92,0.64,62,329.51,2.92,0.47,0.0,7.45,0.0
39,4173.5,552.91,0.64,64,305.14,0.0,0.0,0.0,2.05,13.87
44,7553.42,745.8,1.0,28,865.72,95.54,11.05,87.74,34.49,25.35
45,5337.03,771.89,1.0,25,622.54,0.0,22.45,7.31,52.33,30.76
41,2894.53,524.46,0.0,181,0.0,0.05,0.0,0.08,0.35,0.48
45,6534.4,795.79,1.0,25,755.82,66.0,0.0,83.81,16.74,44.61
40,2067.91,521.57,0.0,183,0.0,0.0,0.07,0.05,0.0,0.0
42,2816.49,545.59,0.67,52,159.53,0.0,0.02,0.0,4.7,0.06
45,2936.63,551.49,0.65,48,169.67,0.0,0.0,0.04,2.05,7.3
42,1970.25,523.59,0.01,182,28.7,0.1,0.0,0.28,0.52,0.0
44,6833.22,795.36,1.0,29,811.07,82.21,2.56,0.0,64.69,64.73
42,3742.23,626.44,0.72,55,251.34,1.24,0.47,261.87,4.16,0.0
41,2418.41,596.21,0.67,57,233.3,0.0,0.0,263.88,10.57,3.25
42,2228.28,602.43,0.0,181,1.55,0.0,0.0,0.16,0.0,1.0
43,4055.69,629.0,0.73,61,245.66,2.75,1.37,0.0,5.87,0.0
43,5062.79,756.49,1.0,28,477.82,1.97,28.08,0.0,74.62,48.89
44,6324.26,728.24,0.98,29,843.52,161.65,14.63,1.91,33.45,47.07
41,3018.21,538.7,0.65,53,143.59,0.0,0.0,0.0,11.7,5.82
41,2301.08,496.34,0.0,182,2.67,0.18,0.01,0.0,0.52,0.27
42,3268.75,592.96,0.63,54,240.58,3.13,0.0,619.5,0.0,0.0
48,3437.65,592.44,1.0,7,2390.21,5.69,25.46,0.0,326.76,301.32
47,4546.25,665.61,1.0,6,2497.77,0.0,26.65,1562.63,199.99,457.13
42,2634.84,631.15,0.67,66,338.97,0.0,0.05,546.85,5.06,7.75
50,4013.93,603.97,0.98,5,2404.3,4.31,10.19,842.65,203.81,235.21
44,6771.33,800.98,0.98,21,881.26,106.17,0.0,27.96,36.04,69.73
43,8026.76,707.94,1.0,21,830.47,77.18,0.0,61.31,0.0,63.68
44,4690.67,750.43,0.99,38,578.4,0.57,57.56,8.51,0.0,22.23
42,3526.19,597.51,0.68,63,260.49,1.87,0.21,0.0,0.0,8.1
44,2204.65,564.87,0.01,181,0.0,0.05,0.0,0.0,0.0,0.0
42,3107.94,581.71,0.67,60,189.2,0.67,0.38,87.11,0.0,0.0
41,4473.35,601.93,0.67,56,277.77,0.0,1.16,0.0,5.88,15.07
45,4801.41,740.85,0.99,29,646.34,0.65,54.54,0.0,35.31,58.02
45,3571.77,582.8,0.63,43,118.54,0.0,0.01,0.0,0.0,22.88
46,5865.95,752.27,0.99,20,718.03,160.71,0.0,38.22,52.77,38.01
50,4352.48,575.71,1.0,3,2548.24,38.99,39.47,481.22,143.68,193.97
